DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
25-Apr-2025,EQ,"1,303.50","1,325.20","1,288.10","1,301.60","1,301.00","1,300.40","1,303.30","3,217.60","1,114.85",14431012,"18,80,79,07,514.70",307093
24-Apr-2025,EQ,"1,292.40","1,304.50","1,290.30","1,300.00","1,303.50","1,301.60","1,298.32","3,217.60","1,114.85",10468940,"13,59,20,84,385.00",181309
23-Apr-2025,EQ,"1,297.00","1,306.00","1,285.40","1,291.20","1,297.00","1,300.00","1,297.08","3,217.60","1,114.85",10480888,"13,59,45,97,555.00",232149
22-Apr-2025,EQ,"1,300.00","1,303.90","1,286.30","1,295.50","1,289.00","1,291.20","1,295.99","3,217.60","1,114.85",13051707,"16,91,49,00,850.30",229331
21-Apr-2025,EQ,"1,270.00","1,300.90","1,267.00","1,274.50","1,295.20","1,295.50","1,291.47","3,217.60","1,114.85",10429964,"13,46,99,49,890.00",257857
17-Apr-2025,EQ,"1,240.20","1,280.20","1,227.60","1,239.30","1,273.00","1,274.50","1,260.38","3,217.60","1,114.85",15398401,"19,40,78,71,411.00",321235
16-Apr-2025,EQ,"1,234.10","1,240.90","1,229.00","1,240.10","1,238.00","1,239.30","1,235.61","3,217.60","1,114.85",8248464,"10,19,18,64,641.70",164065
15-Apr-2025,EQ,"1,251.00","1,251.00","1,237.10","1,218.95","1,239.60","1,240.10","1,242.83","3,217.60","1,114.85",13378535,"16,62,71,77,949.10",199888
11-Apr-2025,EQ,"1,195.15","1,222.65","1,195.15","1,185.35","1,220.00","1,218.95","1,214.05","3,217.60","1,114.85",11224242,"13,62,68,31,085.65",187059
09-Apr-2025,EQ,"1,169.50","1,189.80","1,168.00","1,182.20","1,187.50","1,185.35","1,183.08","3,217.60","1,114.85",10223104,"12,09,47,49,463.20",193325
08-Apr-2025,EQ,"1,172.00","1,196.60","1,163.30","1,165.70","1,181.05","1,182.20","1,179.50","3,217.60","1,114.85",19555040,"23,06,52,09,423.00",314171
07-Apr-2025,EQ,"1,132.20","1,171.25","1,114.85","1,204.70","1,171.25","1,165.70","1,150.54","3,217.60","1,114.85",22156106,"25,49,15,01,838.90",677564
04-Apr-2025,EQ,"1,241.10","1,245.45","1,193.15","1,248.70","1,205.90","1,204.70","1,206.62","3,217.60","1,156.00",17908652,"21,60,89,77,995.10",542347
03-Apr-2025,EQ,"1,233.05","1,251.80","1,233.05","1,251.15","1,248.50","1,248.70","1,246.31","3,217.60","1,156.00",7434366,"9,26,55,30,670.85",146316
02-Apr-2025,EQ,"1,247.55","1,255.55","1,243.90","1,252.60","1,252.00","1,251.15","1,251.04","3,217.60","1,156.00",10142590,"12,68,88,02,512.15",177979
01-Apr-2025,EQ,"1,264.60","1,277.90","1,249.30","1,275.10","1,254.00","1,252.60","1,260.72","3,217.60","1,156.00",12099648,"15,25,42,61,046.80",260862
28-Mar-2025,EQ,"1,280.00","1,295.75","1,269.00","1,278.20","1,274.00","1,275.10","1,278.15","3,217.60","1,156.00",18147129,"23,19,47,74,030.90",265113
27-Mar-2025,EQ,"1,278.15","1,285.00","1,271.30","1,273.05","1,280.00","1,278.20","1,278.90","3,217.60","1,156.00",15028056,"19,21,93,99,902.90",224828
26-Mar-2025,EQ,"1,291.00","1,293.80","1,268.75","1,285.45","1,270.90","1,273.05","1,279.04","3,217.60","1,156.00",12074747,"15,44,40,62,345.35",292138
25-Mar-2025,EQ,"1,307.70","1,307.70","1,282.60","1,302.10","1,285.25","1,285.45","1,290.63","3,217.60","1,156.00",13713899,"17,69,95,68,389.85",271251
24-Mar-2025,EQ,"1,291.00","1,306.00","1,284.25","1,276.35","1,302.65","1,302.10","1,297.38","3,217.60","1,156.00",20299319,"26,33,59,01,171.15",347056
21-Mar-2025,EQ,"1,275.00","1,281.00","1,270.10","1,269.15","1,277.50","1,276.35","1,276.34","3,217.60","1,156.00",21780769,"27,79,96,53,516.40",230001
20-Mar-2025,EQ,"1,251.85","1,273.00","1,250.05","1,247.15","1,268.20","1,269.15","1,262.54","3,217.60","1,156.00",15971477,"20,16,45,61,988.35",219527
19-Mar-2025,EQ,"1,241.05","1,253.25","1,238.80","1,238.80","1,248.00","1,247.15","1,247.22","3,217.60","1,156.00",16162399,"20,15,80,06,340.60",217782
18-Mar-2025,EQ,"1,244.70","1,248.35","1,235.00","1,238.85","1,239.95","1,238.80","1,238.98","3,217.60","1,156.00",15745877,"19,50,88,93,454.65",312315
17-Mar-2025,EQ,"1,242.15","1,257.40","1,233.10","1,247.90","1,241.55","1,238.85","1,239.76","3,217.60","1,156.00",16640952,"20,63,08,43,725.15",269824
13-Mar-2025,EQ,"1,260.05","1,264.15","1,243.85","1,257.05","1,246.65","1,247.90","1,254.23","3,217.60","1,156.00",9505270,"11,92,17,66,653.80",194588
12-Mar-2025,EQ,"1,258.00","1,263.00","1,244.00","1,247.30","1,255.95","1,257.05","1,252.97","3,217.60","1,156.00",11977555,"15,00,75,14,668.90",161536
11-Mar-2025,EQ,"1,240.00","1,249.50","1,229.75","1,238.40","1,247.25","1,247.30","1,241.71","3,217.60","1,156.00",10089838,"12,52,86,23,904.20",155065
10-Mar-2025,EQ,"1,245.00","1,258.00","1,235.40","1,249.80","1,237.70","1,238.40","1,245.85","3,217.60","1,156.00",11931051,"14,86,43,40,065.65",288299
07-Mar-2025,EQ,"1,216.00","1,254.80","1,212.00","1,209.60","1,246.40","1,249.80","1,243.95","3,217.60","1,156.00",16474965,"20,49,40,65,096.80",424924
06-Mar-2025,EQ,"1,197.00","1,213.95","1,185.15","1,175.60","1,211.50","1,209.60","1,199.05","3,217.60","1,156.00",14468014,"17,34,79,17,723.20",250467
05-Mar-2025,EQ,"1,161.00","1,183.00","1,157.00","1,161.90","1,177.15","1,175.60","1,173.40","3,217.60","1,156.00",8664095,"10,16,64,51,492.55",196774
04-Mar-2025,EQ,"1,162.20","1,174.00","1,159.55","1,171.25","1,160.45","1,161.90","1,164.92","3,217.60","1,156.00",11377373,"13,25,37,11,939.15",275459
03-Mar-2025,EQ,"1,204.00","1,206.45","1,156.00","1,200.10","1,174.00","1,171.25","1,168.57","3,217.60","1,156.00",17944938,"20,96,99,45,818.55",682013
28-Feb-2025,EQ,"1,202.00","1,217.35","1,193.30","1,207.10","1,198.00","1,200.10","1,205.62","3,217.60","1,193.30",23007298,"27,73,81,25,737.60",355378
27-Feb-2025,EQ,"1,212.80","1,215.00","1,200.65","1,204.00","1,208.00","1,207.10","1,206.31","3,217.60","1,193.35",11509215,"13,88,36,37,029.45",236188
25-Feb-2025,EQ,"1,211.00","1,221.00","1,201.50","1,214.55","1,202.00","1,204.00","1,209.60","3,217.60","1,193.35",11552182,"13,97,34,92,939.80",213192
24-Feb-2025,EQ,"1,216.55","1,223.25","1,210.50","1,228.15","1,215.00","1,214.55","1,215.90","3,217.60","1,193.35",7172498,"8,72,10,21,715.35",200264
21-Feb-2025,EQ,"1,228.70","1,240.00","1,222.15","1,233.00","1,226.90","1,228.15","1,231.37","3,217.60","1,193.35",6904025,"8,50,13,82,497.70",213824
20-Feb-2025,EQ,"1,223.95","1,239.35","1,222.00","1,227.45","1,232.00","1,233.00","1,233.94","3,217.60","1,193.35",7795582,"9,61,92,77,166.50",162561
19-Feb-2025,EQ,"1,219.50","1,232.75","1,217.55","1,225.40","1,226.30","1,227.45","1,226.67","3,217.60","1,193.35",6217338,"7,62,66,01,753.25",178165
18-Feb-2025,EQ,"1,224.85","1,229.90","1,216.10","1,224.90","1,223.95","1,225.40","1,223.94","3,217.60","1,193.35",6673250,"8,16,76,61,853.95",181273
17-Feb-2025,EQ,"1,211.10","1,227.50","1,204.50","1,217.25","1,225.45","1,224.90","1,219.62","3,217.60","1,193.35",8166683,"9,96,02,41,446.85",220670
14-Feb-2025,EQ,"1,219.00","1,224.00","1,205.45","1,216.10","1,214.75","1,217.25","1,215.10","3,217.60","1,193.35",10298145,"12,51,32,77,266.75",202314
13-Feb-2025,EQ,"1,217.05","1,228.00","1,212.00","1,216.55","1,216.20","1,216.10","1,219.60","3,217.60","1,193.35",8511216,"10,38,02,76,762.25",266249
12-Feb-2025,EQ,"1,219.45","1,226.90","1,193.35","1,234.85","1,217.05","1,216.55","1,211.39","3,217.60","1,193.35",21131654,"25,59,86,19,531.25",404276
11-Feb-2025,EQ,"1,264.55","1,264.55","1,230.10","1,253.65","1,237.55","1,234.85","1,244.26","3,217.60","1,201.50",8859714,"11,02,37,57,522.95",240683
10-Feb-2025,EQ,"1,264.50","1,266.50","1,245.55","1,266.70","1,254.65","1,253.65","1,251.52","3,217.60","1,201.50",6970972,"8,72,42,86,360.55",173316
07-Feb-2025,EQ,"1,276.15","1,283.70","1,262.00","1,281.55","1,266.50","1,266.70","1,270.98","3,217.60","1,201.50",8764283,"11,13,92,40,963.05",174531
06-Feb-2025,EQ,"1,273.70","1,288.00","1,270.35","1,278.20","1,283.00","1,281.55","1,279.27","3,217.60","1,201.50",9956001,"12,73,63,85,821.45",217888
05-Feb-2025,EQ,"1,282.65","1,290.50","1,276.70","1,285.20","1,278.50","1,278.20","1,281.97","3,217.60","1,201.50",10112028,"12,96,33,36,513.05",219550
04-Feb-2025,EQ,"1,248.05","1,288.80","1,246.60","1,245.90","1,282.90","1,285.20","1,273.65","3,217.60","1,201.50",16691069,"21,25,84,96,964.75",323415
03-Feb-2025,EQ,"1,251.00","1,256.00","1,237.55","1,264.60","1,247.00","1,245.90","1,247.14","3,217.60","1,201.50",9252345,"11,53,89,63,041.00",268425
01-Feb-2025,EQ,"1,265.10","1,270.55","1,241.00","1,265.10","1,264.00","1,264.60","1,260.42","3,217.60","1,201.50",7118453,"8,97,22,48,877.35",143258
31-Jan-2025,EQ,"1,255.85","1,267.00","1,249.00","1,253.05","1,266.00","1,265.10","1,261.32","3,217.60","1,201.50",6584612,"8,30,52,91,978.45",169481
30-Jan-2025,EQ,"1,235.55","1,257.00","1,232.40","1,235.50","1,253.15","1,253.05","1,249.15","3,217.60","1,201.50",9269259,"11,57,86,93,152.95",227871
29-Jan-2025,EQ,"1,236.00","1,242.75","1,228.05","1,234.40","1,237.25","1,235.50","1,236.66","3,217.60","1,201.50",5928156,"7,33,11,19,895.80",167073
28-Jan-2025,EQ,"1,238.00","1,244.75","1,218.50","1,229.35","1,235.00","1,234.40","1,232.65","3,217.60","1,201.50",10568025,"13,02,66,73,067.35",286863
27-Jan-2025,EQ,"1,239.10","1,240.45","1,220.00","1,246.30","1,229.00","1,229.35","1,229.35","3,217.60","1,201.50",9536019,"11,72,31,27,883.65",368025
24-Jan-2025,EQ,"1,266.00","1,273.00","1,243.50","1,263.65","1,244.45","1,246.30","1,252.27","3,217.60","1,201.50",14235970,"17,82,72,72,395.00",263461
23-Jan-2025,EQ,"1,270.00","1,277.35","1,261.60","1,277.10","1,264.90","1,263.65","1,267.52","3,217.60","1,201.50",8720682,"11,05,36,24,692.80",188421
22-Jan-2025,EQ,"1,278.30","1,282.90","1,268.70","1,273.70","1,278.00","1,277.10","1,276.09","3,217.60","1,201.50",10273590,"13,11,00,04,094.65",239816
21-Jan-2025,EQ,"1,310.50","1,313.00","1,270.20","1,305.45","1,277.60","1,273.70","1,284.79","3,217.60","1,201.50",14562976,"18,71,03,66,859.10",325783
20-Jan-2025,EQ,"1,316.00","1,316.00","1,300.25","1,302.35","1,304.00","1,305.45","1,307.82","3,217.60","1,201.50",14040244,"18,36,20,47,246.70",280553
17-Jan-2025,EQ,"1,322.25","1,326.00","1,285.00","1,266.45","1,300.00","1,302.35","1,300.80","3,217.60","1,201.50",29366277,"38,19,97,28,794.40",594018
16-Jan-2025,EQ,"1,258.90","1,275.00","1,251.30","1,252.20","1,275.00","1,266.45","1,262.86","3,217.60","1,201.50",14117603,"17,82,84,86,685.90",207451
15-Jan-2025,EQ,"1,244.95","1,257.00","1,241.85","1,238.75","1,252.00","1,252.20","1,250.11","3,217.60","1,201.50",9578856,"11,97,46,00,753.05",220174
14-Jan-2025,EQ,"1,244.10","1,253.35","1,227.25","1,239.85","1,239.00","1,238.75","1,236.46","3,217.60","1,201.50",13095266,"16,19,17,65,836.20",278977
13-Jan-2025,EQ,"1,230.00","1,245.25","1,226.40","1,241.90","1,240.75","1,239.85","1,238.10","3,217.60","1,201.50",13764861,"17,04,22,74,859.85",398257
10-Jan-2025,EQ,"1,253.85","1,256.75","1,236.00","1,254.75","1,245.55","1,241.90","1,245.97","3,217.60","1,201.50",8120332,"10,11,76,85,547.70",340024
09-Jan-2025,EQ,"1,267.00","1,269.75","1,248.05","1,265.50","1,256.80","1,254.75","1,257.46","3,217.60","1,201.50",12794704,"16,08,88,82,554.20",390501
08-Jan-2025,EQ,"1,249.00","1,271.05","1,245.35","1,240.85","1,261.35","1,265.50","1,263.24","3,217.60","1,201.50",19346579,"24,43,93,45,120.55",531488
07-Jan-2025,EQ,"1,222.00","1,244.50","1,221.25","1,218.00","1,239.95","1,240.85","1,237.63","3,217.60","1,201.50",10070505,"12,46,35,97,633.45",216620
06-Jan-2025,EQ,"1,253.95","1,262.00","1,215.00","1,251.15","1,216.25","1,218.00","1,235.67","3,217.60","1,201.50",14816766,"18,30,86,52,263.95",317843
03-Jan-2025,EQ,"1,243.90","1,262.05","1,235.50","1,241.80","1,249.85","1,251.15","1,250.34","3,217.60","1,201.50",15521102,"19,40,67,15,598.75",277290
02-Jan-2025,EQ,"1,221.25","1,244.45","1,220.00","1,221.25","1,240.55","1,241.80","1,234.32","3,217.60","1,201.50",15486276,"19,11,50,27,208.35",271108
01-Jan-2025,EQ,"1,214.85","1,226.30","1,211.60","1,215.45","1,222.75","1,221.25","1,221.01","3,217.60","1,201.50",5892590,"7,19,48,99,836.45",138528
